Twin 1,Twin 2
26090943854590806147554756665735955049194862054531571998068831264557466993448502024027885951992513209633936674648831937125093520949591012153312449,26090943854590806147554756665735955049194862054531571998068831264557466993448502024027885951992513209633936674648831937125093520949591012153312451
26595362514894738293295390620334702020773890954908742793604483646464919386650988912956014749268056289156344608038254401924470055662351696597142049,26595362514894738293295390620334702020773890954908742793604483646464919386650988912956014749268056289156344608038254401924470055662351696597142051
29158429875409273902021288806679161397794586935148504757537466251696618431286074692806930826966978192712679795380584359651254016732995463884120449,29158429875409273902021288806679161397794586935148504757537466251696618431286074692806930826966978192712679795380584359651254016732995463884120451
29512381815306908357334784242188413756794860263961495585087679005618992499245782757902105098468102996299336409234904375796202348003653374644032049,29512381815306908357334784242188413756794860263961495585087679005618992499245782757902105098468102996299336409234904375796202348003653374644032051
29692918974849707181373747500547484624149575049267643458908484656484069831894376523163697813361462765909397789145736652489198325144880991002016049,29692918974849707181373747500547484624149575049267643458908484656484069831894376523163697813361462765909397789145736652489198325144880991002016051
30493962536360093077104859389736787940687658140449432423573904524820788308207355089655028832033477720727372338212512038066832805306675147223456799,30493962536360093077104859389736787940687658140449432423573904524820788308207355089655028832033477720727372338212512038066832805306675147223456801
30885459963363986704145526879284709358460725158593385604793864675088536694909617003295624416963130563973918292193161166430463220608734789226216199,30885459963363986704145526879284709358460725158593385604793864675088536694909617003295624416963130563973918292193161166430463220608734789226216201
31094855897683511841950850490216083677324813014049902294403612103266052754273637859449124484916539784330360037167156707972978714606202051478340049,31094855897683511841950850490216083677324813014049902294403612103266052754273637859449124484916539784330360037167156707972978714606202051478340051
31223522179281029520996523157619814542101913304178751169625251409958399939071905036541844785837716184522670020905067327147781049819051258690270049,31223522179281029520996523157619814542101913304178751169625251409958399939071905036541844785837716184522670020905067327147781049819051258690270051
31725861554203198586678881271133616734190999205411724017157070372056340695223839337128712397293747172467431263664830212700678023591245367474279199,31725861554203198586678881271133616734190999205411724017157070372056340695223839337128712397293747172467431263664830212700678023591245367474279201
31796523248633336581009589920134077376712300828145418490830270186030888617990931801038109349488246263735150228590609530713240128144700653142784449,31796523248633336581009589920134077376712300828145418490830270186030888617990931801038109349488246263735150228590609530713240128144700653142784451
34040061047890835718018380674420167520069143801779094207775567576453377554192880891433505391633995544818777533399575021874038259609996644260261249,34040061047890835718018380674420167520069143801779094207775567576453377554192880891433505391633995544818777533399575021874038259609996644260261251
36506849814935501264148297236809099151957225520528453425543873425689228769006579747936412873133268108689744816818449197824375900210034345522461249,36506849814935501264148297236809099151957225520528453425543873425689228769006579747936412873133268108689744816818449197824375900210034345522461251
36970507072937560579243673439108705588230143431185167990808634934186702659936175690880163913264440240627265786127676152645076834071474678265064049,36970507072937560579243673439108705588230143431185167990808634934186702659936175690880163913264440240627265786127676152645076834071474678265064051
37285361715721553959743395972430428149086721806990883518832441382685823853857639126283620359901955562059109270610724726916807592785946365533010449,37285361715721553959743395972430428149086721806990883518832441382685823853857639126283620359901955562059109270610724726916807592785946365533010451
37653602311129265755377863453570079750357461319603690936692826874563251649968336198054244185797354368089354637894313452268248577981427939804224199,37653602311129265755377863453570079750357461319603690936692826874563251649968336198054244185797354368089354637894313452268248577981427939804224201
37862945313853760966878642398528439500915307388026688936096914443520771231586527420443567809129888845453938769665746540320113539020438724600488049,37862945313853760966878642398528439500915307388026688936096914443520771231586527420443567809129888845453938769665746540320113539020438724600488051
42044290998883109999425345117181954298068214584823866377461526405681279809454608814039608422215031730139721809662454032079349111632790646238816799,42044290998883109999425345117181954298068214584823866377461526405681279809454608814039608422215031730139721809662454032079349111632790646238816801
42365997015098482670459192507435729600555105362043561549806344260649922361660793825576808098591734381476341055789454848572529935106683586076502449,42365997015098482670459192507435729600555105362043561549806344260649922361660793825576808098591734381476341055789454848572529935106683586076502451
42651700592432012891869481563379163490325775054164043803876000386502910642550825031095585584225247154326994077940553809707846631671366301826438449,42651700592432012891869481563379163490325775054164043803876000386502910642550825031095585584225247154326994077940553809707846631671366301826438451
42734452725310389950685122004190711998552234319005847008279049687971040388731720496080708089008862398703419882183002878280482120344316503765868449,42734452725310389950685122004190711998552234319005847008279049687971040388731720496080708089008862398703419882183002878280482120344316503765868451
42857073063884325756450603752036767935811659072735221054228027765720444437259970850749623655434414973014858999354770855292288489164160571465004049,42857073063884325756450603752036767935811659072735221054228027765720444437259970850749623655434414973014858999354770855292288489164160571465004051
48182457863277033605733926541039591757460767116159626658569502670698642817679556107097293396280880274817874535273349630546146816734557482930188799,48182457863277033605733926541039591757460767116159626658569502670698642817679556107097293396280880274817874535273349630546146816734557482930188801
49138353339373388525122466646447742755241374700996969424877488623595379631200476382602770385680635878134835679842335794409359142685282096232304199,49138353339373388525122466646447742755241374700996969424877488623595379631200476382602770385680635878134835679842335794409359142685282096232304201
49306289110177136677879143466156216946771134230269936484180173630769000049952417757831716140894587089179940442082671970256017272861065981362872449,49306289110177136677879143466156216946771134230269936484180173630769000049952417757831716140894587089179940442082671970256017272861065981362872451
49671579029809935911217806077125173482161311215472954098443458932559601467115952059840008593486852068739462566115689258918607127792470124669484449,49671579029809935911217806077125173482161311215472954098443458932559601467115952059840008593486852068739462566115689258918607127792470124669484451
51015875691238970277564748504979762813343144267475993426226148894914147247585050150793949103893249867215017389833978900504772602650500540818456449,51015875691238970277564748504979762813343144267475993426226148894914147247585050150793949103893249867215017389833978900504772602650500540818456451
51660158103550596348731431007313578881130789825155790269696034232361819888409791789553920730187514750596942425729570744094138854201681288501724449,51660158103550596348731431007313578881130789825155790269696034232361819888409791789553920730187514750596942425729570744094138854201681288501724451
52571700283416010163386899448048798250483973953667293087285555981728967216890610363199476577507523409187385522303475439481039288184361037012499999,52571700283416010163386899448048798250483973953667293087285555981728967216890610363199476577507523409187385522303475439481039288184361037012500001
