Number,Primes +1,Primes -1,Twins,Is Prime
2,1,1,1,True
3,1,1,1,True
4,2,2,1,False
5,1,1,0,True
6,4,4,3,False
7,2,2,1,True
8,2,3,0,False
9,3,3,2,False
10,5,5,2,False
11,3,2,0,True
12,5,7,3,False
13,4,1,0,True
14,6,6,1,False
15,5,5,4,False
16,5,7,2,False
17,3,3,1,True
18,9,9,5,False
19,2,4,1,True
20,7,8,3,False
21,6,6,2,False
22,8,10,2,False
23,4,3,1,True
24,10,12,5,False
25,5,6,2,False
26,10,8,1,False
27,7,7,3,False
28,10,11,1,False
29,4,5,2,True
30,16,18,10,False
31,3,6,0,True
32,10,8,1,False
33,9,7,4,False
34,12,9,2,False
35,9,6,2,False
36,15,18,6,False
37,4,5,0,True
38,9,12,2,False
39,11,9,4,False
40,13,16,3,False
41,5,5,1,True
42,20,21,8,False
43,7,7,2,True
44,11,15,3,False
45,10,13,4,False
46,15,12,3,False
47,8,9,1,True
48,19,18,7,False
49,6,7,1,False
50,18,16,4,False
51,13,11,5,False
52,16,15,5,False
53,5,8,0,True
54,24,20,8,False
55,10,12,4,False
56,19,16,1,False
57,9,14,3,False
58,15,14,3,False
59,8,6,1,True
60,26,32,14,False
61,7,8,0,True
62,15,17,3,False
63,13,14,4,False
64,16,15,4,False
65,13,10,4,False
66,29,27,13,False
67,9,10,3,True
68,18,20,4,False
69,13,13,4,False
70,26,29,5,False
71,9,10,3,True
72,25,28,9,False
73,10,3,0,True
74,20,17,3,False
75,18,19,11,False
76,17,24,2,False
77,11,14,3,False
78,28,32,12,False
79,11,8,0,True
80,23,25,6,False
81,18,14,6,False
82,21,21,3,False
83,11,9,2,True
84,33,39,13,False
85,16,12,3,False
86,23,22,5,False
87,14,19,8,False
88,21,25,5,False
89,12,9,1,True
90,38,44,16,False
91,14,13,4,False
92,21,24,4,False
93,16,18,6,False
94,27,23,4,False
95,15,12,2,False
96,33,31,11,False
97,12,14,0,True
98,29,29,8,False
99,20,18,6,False
100,29,28,7,False
101,14,10,2,True
102,39,36,10,False
103,13,8,1,True
104,23,30,5,False
105,25,29,14,False
106,24,26,3,False
107,13,12,4,True
108,36,39,9,False
109,12,13,2,True
110,33,37,11,False
111,21,18,6,False
112,28,31,2,False
113,15,16,4,True
114,39,39,11,False
115,18,16,3,False
116,31,28,6,False
117,19,25,8,False
118,33,27,2,False
119,21,15,4,False
120,46,53,20,False
121,16,17,3,False
122,31,26,0,False
123,19,20,5,False
124,27,29,3,False
125,17,17,4,False
126,48,51,18,False
127,14,15,0,True
128,31,28,4,False
129,20,25,9,False
130,42,34,9,False
131,14,12,3,True
132,49,54,19,False
133,17,21,3,False
134,32,25,3,False
135,27,26,9,False
136,32,33,3,False
137,17,11,4,True
138,47,43,12,False
139,15,15,3,True
140,43,44,9,False
141,21,25,5,False
142,35,35,5,False
143,16,22,2,False
144,47,47,9,False
145,17,19,3,False
146,36,34,5,False
147,28,31,14,False
148,33,33,3,False
149,19,15,1,True
150,60,63,24,False
151,18,17,2,True
152,32,35,2,False
153,30,25,8,False
154,40,51,10,False
155,20,21,3,False
156,55,60,20,False
157,12,14,3,True
158,36,33,3,False
159,24,27,7,False
160,44,42,7,False
161,19,24,3,False
162,52,55,14,False
163,19,18,3,True
164,31,36,3,False
165,39,37,21,False
166,36,36,6,False
167,13,18,1,True
168,56,62,18,False
169,21,20,3,False
170,54,46,9,False
171,26,27,7,False
172,40,38,9,False
173,19,17,1,True
174,60,59,19,False
175,28,26,8,False
176,43,38,5,False
177,29,25,6,False
178,35,40,4,False
179,20,17,1,True
180,72,69,22,False
181,22,16,3,True
182,49,46,9,False
183,28,29,6,False
184,34,43,2,False
185,28,23,7,False
186,57,62,17,False
187,22,23,3,False
188,40,41,4,False
189,30,38,10,False
190,46,54,8,False
191,20,18,1,True
192,62,57,17,False
193,24,21,3,True
194,40,41,4,False
195,41,43,17,False
196,49,49,10,False
197,21,17,2,True
198,64,67,19,False
199,15,24,4,True
200,50,46,9,False
201,35,26,8,False
202,43,42,9,False
203,25,24,4,False
204,64,68,19,False
205,28,25,5,False
206,42,47,5,False
207,34,30,6,False
208,49,43,5,False
209,23,29,5,False
210,93,96,37,False
211,21,27,3,True
212,44,42,6,False
213,34,29,7,False
214,39,48,6,False
215,23,27,7,False
216,63,61,15,False
217,27,27,5,False
218,39,48,8,False
219,34,33,10,False
220,60,60,10,False
221,28,28,5,False
222,70,67,19,False
223,21,26,4,True
224,54,49,6,False
225,39,43,15,False
226,44,48,5,False
227,23,25,4,True
228,70,72,18,False
229,25,23,3,True
230,57,62,8,False
231,41,49,17,False
232,52,50,7,False
233,26,20,2,True
234,80,78,21,False
235,27,31,3,False
236,49,43,4,False
237,39,35,11,False
238,68,54,11,False
239,23,28,3,True
240,85,90,27,False
241,26,19,3,True
242,50,54,10,False
243,35,35,7,False
244,57,50,7,False
245,33,38,8,False
246,76,69,20,False
247,32,29,6,False
248,51,51,8,False
249,38,40,15,False
250,66,57,8,False
251,26,28,5,True
252,83,92,27,False
253,24,28,2,False
254,54,53,5,False
